index,target,source,flow
222,01-99999,06-488,115
223,01-99999,06-99999,87
224,01-99999,08-216,78
225,01-99999,08-99999,35
226,01-99999,09-25540,67
227,01-99999,09-408,542
228,01-99999,09-99999,13
229,01-99999,10-428,278
230,01-99999,10-99999,15
231,01-99999,11-47900,124
232,01-99999,12-300,198
233,01-99999,12-370,299
234,01-99999,12-422,209
235,01-99999,12-45300,240
236,01-99999,12-99999,301
237,01-99999,13-496,135
238,01-99999,13-99999,87
239,01-99999,16-99999,29
240,01-99999,17-176,557
241,01-99999,17-476,231
242,01-99999,17-99999,206
243,01-99999,18-258,135
244,01-99999,18-294,204
245,01-99999,18-99999,268
246,01-99999,19-99999,212
247,01-99999,20-312,162
248,01-99999,20-556,96
249,01-99999,20-99999,95
250,01-99999,21-178,207
251,01-99999,21-350,77
252,01-99999,21-99999,203
253,01-99999,22-12940,58
254,01-99999,22-29340,17
255,01-99999,22-406,195
256,01-99999,22-99999,274
257,01-99999,23-99999,70
258,01-99999,24-12580,102
259,01-99999,24-99999,38
260,01-99999,25-148,217
261,01-99999,25-99999,69
262,01-99999,26-220,406
263,01-99999,26-266,211
264,01-99999,26-99999,199
265,01-99999,27-378,201
266,01-99999,27-99999,58
267,01-99999,28-99999,45
268,01-99999,29-99999,225
269,01-99999,30-99999,31
270,01-99999,31-420,40
271,01-99999,31-99999,56
272,01-99999,32-332,14
273,01-99999,32-99999,25
274,01-99999,33-99999,8
275,01-99999,35-99999,35
276,01-99999,36-104,46
277,01-99999,36-160,108
278,01-99999,36-464,32
279,01-99999,36-99999,133
280,01-99999,37-172,283
281,01-99999,37-268,252
282,01-99999,37-450,152
283,01-99999,37-99999,287
284,01-99999,38-99999,25
285,01-99999,39-184,251
286,01-99999,39-198,196
287,01-99999,39-212,130
288,01-99999,39-99999,368
289,01-99999,40-416,71
290,01-99999,40-538,86
291,01-99999,40-99999,131
292,01-99999,41-440,66
293,01-99999,41-99999,19
294,01-99999,42-430,209
295,01-99999,42-99999,356
296,01-99999,45-16700,114
297,01-99999,45-273,79
298,01-99999,45-99999,318
299,01-99999,46-99999,27
300,01-99999,47-314,30
301,01-99999,47-368,58
302,01-99999,47-400,14
303,01-99999,47-99999,71
304,01-99999,48-12420,37
305,01-99999,48-13140,32
306,01-99999,48-204,14
307,01-99999,48-206,532
308,01-99999,48-238,49
309,01-99999,48-288,484
310,01-99999,48-29700,76
311,01-99999,48-41700,113
312,01-99999,48-99999,335
313,01-99999,49-482,83
314,01-99999,49-99999,9
315,01-99999,50-99999,59
316,01-99999,51-40060,142
317,01-99999,51-545,97
318,01-99999,51-99999,260
319,01-99999,53-500,70
320,01-99999,53-99999,33
321,01-99999,54-99999,125
322,01-99999,55-376,124
323,01-99999,55-99999,311
324,01-99999,56-99999,29
325,02-99999,04-38060,5
326,02-99999,05-99999,3
327,02-99999,06-260,2
328,02-99999,06-348,6
329,02-99999,06-488,1
330,02-99999,06-99999,1
331,02-99999,08-99999,5
332,02-99999,09-25540,1
333,02-99999,09-408,4
334,02-99999,09-99999,1
335,02-99999,12-300,1
336,02-99999,12-99999,1
337,02-99999,13-122,17
338,02-99999,16-99999,1
339,02-99999,17-176,2
340,02-99999,17-476,1
341,02-99999,18-99999,8
342,02-99999,19-99999,7
343,02-99999,20-312,12
344,02-99999,20-99999,14
345,02-99999,21-99999,1
346,02-99999,22-406,1
347,02-99999,22-99999,1
348,02-99999,23-99999,2
349,02-99999,24-12580,1
350,02-99999,25-148,8
351,02-99999,26-266,6
352,02-99999,27-378,3
353,02-99999,27-99999,2
354,02-99999,28-99999,21
355,02-99999,29-99999,9
356,02-99999,30-99999,1
357,02-99999,31-420,2
358,02-99999,31-99999,4
359,02-99999,33-99999,2
360,02-99999,36-104,2
361,02-99999,36-160,4
362,02-99999,36-464,1
363,02-99999,36-99999,6
364,02-99999,37-172,1
365,02-99999,37-450,1
366,02-99999,37-99999,2
367,02-99999,39-99999,1
368,02-99999,40-538,1
369,02-99999,40-99999,7
370,02-99999,41-440,2
371,02-99999,42-99999,5
372,02-99999,47-368,1
373,02-99999,48-206,3
374,02-99999,48-238,1
375,02-99999,48-288,5
376,02-99999,48-41700,5
377,02-99999,48-99999,5
378,02-99999,50-99999,3
379,02-99999,51-545,2
380,02-99999,51-99999,1
381,02-99999,53-500,3
382,02-99999,53-99999,2
383,02-99999,54-99999,5
384,02-99999,55-376,1
385,02-99999,55-99999,7
386,04-38060,05-99999,111
387,04-38060,06-260,219
388,04-38060,06-348,361
389,04-38060,06-41740,8
390,04-38060,06-472,223
391,04-38060,06-488,834
392,04-38060,06-99999,416
393,04-38060,08-216,321
394,04-38060,08-99999,181
395,04-38060,09-25540,78
396,04-38060,09-408,427
397,04-38060,09-99999,8
398,04-38060,10-428,190
399,04-38060,10-99999,4
400,04-38060,11-47900,39
401,04-38060,12-300,43
402,04-38060,12-370,110
403,04-38060,12-422,52
404,04-38060,12-45300,55
405,04-38060,12-99999,41
406,04-38060,13-122,230
407,04-38060,13-496,11
408,04-38060,13-99999,74
409,04-38060,16-99999,191
410,04-38060,17-176,316
411,04-38060,17-476,169
412,04-38060,17-99999,99
413,04-38060,18-258,22
414,04-38060,18-294,70
415,04-38060,18-99999,75
416,04-38060,19-99999,138
417,04-38060,20-312,127
418,04-38060,20-556,84
419,04-38060,20-99999,80
420,04-38060,21-178,115
421,04-38060,21-350,40
422,04-38060,21-99999,70
423,04-38060,22-12940,18
424,04-38060,22-29340,15
425,04-38060,22-406,88
426,04-38060,22-99999,22
427,04-38060,23-99999,19
428,04-38060,24-12580,48
429,04-38060,24-99999,22
430,04-38060,25-148,196
431,04-38060,25-99999,16
432,04-38060,26-220,114
433,04-38060,26-266,94
434,04-38060,26-99999,69
435,04-38060,27-378,178
436,04-38060,27-99999,85
437,04-38060,28-99999,95
438,04-38060,29-99999,91
439,04-38060,30-99999,63
440,04-38060,31-420,44
441,04-38060,31-99999,62
442,04-38060,32-332,3
443,04-38060,32-99999,238
444,04-38060,33-99999,19
445,04-38060,35-99999,497
446,04-38060,36-104,28
447,04-38060,36-160,61
448,04-38060,36-464,47
449,04-38060,36-99999,62
450,04-38060,37-172,52
451,04-38060,37-268,106
452,04-38060,37-450,67
453,04-38060,37-99999,78
454,04-38060,38-99999,24
455,04-38060,39-184,91
456,04-38060,39-198,73
457,04-38060,39-212,43
458,04-38060,39-99999,115
459,04-38060,40-416,94
460,04-38060,40-538,51
461,04-38060,40-99999,66
462,04-38060,41-440,439
463,04-38060,41-99999,137
