index,target,source,flow
1064,06-41740,26-266,49
1065,06-41740,26-99999,68
1066,06-41740,27-378,90
1067,06-41740,27-99999,61
1068,06-41740,28-99999,57
1069,06-41740,29-99999,59
1070,06-41740,30-99999,32
1071,06-41740,31-420,28
1072,06-41740,31-99999,54
1073,06-41740,32-332,6
1074,06-41740,32-99999,167
1075,06-41740,33-99999,12
1076,06-41740,35-99999,106
1077,06-41740,36-104,31
1078,06-41740,36-160,70
1079,06-41740,36-464,46
1080,06-41740,36-99999,70
1081,06-41740,37-172,55
1082,06-41740,37-268,75
1083,06-41740,37-450,56
1084,06-41740,37-99999,65
1085,06-41740,38-99999,20
1086,06-41740,39-184,79
1087,06-41740,39-198,57
1088,06-41740,39-212,18
1089,06-41740,39-99999,83
1090,06-41740,40-416,22
1091,06-41740,40-538,104
1092,06-41740,40-99999,27
1093,06-41740,41-440,210
1094,06-41740,41-99999,124
1095,06-41740,42-430,90
1096,06-41740,42-99999,130
1097,06-41740,45-16700,11
1098,06-41740,45-273,45
1099,06-41740,45-99999,41
1100,06-41740,46-99999,34
1101,06-41740,47-314,29
1102,06-41740,47-368,39
1103,06-41740,47-400,47
1104,06-41740,47-99999,34
1105,06-41740,48-12420,47
1106,06-41740,48-13140,3
1107,06-41740,48-204,6
1108,06-41740,48-206,247
1109,06-41740,48-238,83
1110,06-41740,48-288,121
1111,06-41740,48-29700,29
1112,06-41740,48-41700,54
1113,06-41740,48-99999,164
1114,06-41740,49-482,142
1115,06-41740,49-99999,45
1116,06-41740,50-99999,34
1117,06-41740,51-40060,43
1118,06-41740,51-545,52
1119,06-41740,51-99999,87
1120,06-41740,53-500,160
1121,06-41740,53-99999,120
1122,06-41740,54-99999,23
1123,06-41740,55-376,95
1124,06-41740,55-99999,164
1125,06-41740,56-99999,15
1126,06-472,08-216,99
1127,06-472,08-99999,66
1128,06-472,09-25540,18
1129,06-472,09-408,196
1130,06-472,09-99999,3
1131,06-472,10-428,61
1132,06-472,10-99999,5
1133,06-472,11-47900,20
1134,06-472,12-300,9
1135,06-472,12-370,40
1136,06-472,12-422,26
1137,06-472,12-45300,16
1138,06-472,12-99999,26
1139,06-472,13-122,64
1140,06-472,13-496,3
1141,06-472,13-99999,23
1142,06-472,16-99999,152
1143,06-472,17-176,176
1144,06-472,17-476,44
1145,06-472,17-99999,45
1146,06-472,18-258,11
1147,06-472,18-294,42
1148,06-472,18-99999,35
1149,06-472,19-99999,47
1150,06-472,20-312,73
1151,06-472,20-556,24
1152,06-472,20-99999,21
1153,06-472,21-178,34
1154,06-472,21-350,21
1155,06-472,21-99999,44
1156,06-472,22-12940,7
1157,06-472,22-29340,1
1158,06-472,22-406,36
1159,06-472,22-99999,18
1160,06-472,23-99999,14
1161,06-472,24-12580,23
1162,06-472,24-99999,11
1163,06-472,25-148,79
1164,06-472,25-99999,11
1165,06-472,26-220,45
1166,06-472,26-266,29
1167,06-472,26-99999,36
1168,06-472,27-378,80
1169,06-472,27-99999,42
1170,06-472,28-99999,78
1171,06-472,29-99999,34
1172,06-472,30-99999,88
1173,06-472,31-420,16
1174,06-472,31-99999,17
1175,06-472,32-332,95
1176,06-472,32-99999,11
1177,06-472,33-99999,3
1178,06-472,35-99999,56
1179,06-472,36-104,9
1180,06-472,36-160,28
1181,06-472,36-464,15
1182,06-472,36-99999,28
1183,06-472,37-172,10
1184,06-472,37-268,22
1185,06-472,37-450,11
1186,06-472,37-99999,32
1187,06-472,38-99999,22
1188,06-472,39-184,46
1189,06-472,39-198,24
1190,06-472,39-212,19
1191,06-472,39-99999,34
1192,06-472,40-416,34
1193,06-472,40-538,16
1194,06-472,40-99999,10
1195,06-472,41-440,397
1196,06-472,41-99999,145
1197,06-472,42-430,26
1198,06-472,42-99999,63
1199,06-472,45-16700,17
1200,06-472,45-273,20
1201,06-472,45-99999,21
1202,06-472,46-99999,16
1203,06-472,47-314,9
1204,06-472,47-368,23
1205,06-472,47-400,32
1206,06-472,47-99999,22
1207,06-472,48-12420,16
1208,06-472,48-13140,3
1209,06-472,48-204,5
1210,06-472,48-206,135
1211,06-472,48-238,18
1212,06-472,48-288,73
1213,06-472,48-29700,7
1214,06-472,48-41700,24
1215,06-472,48-99999,101
1216,06-472,49-482,191
1217,06-472,49-99999,78
1218,06-472,50-99999,12
1219,06-472,51-40060,24
1220,06-472,51-545,15
1221,06-472,51-99999,36
1222,06-472,53-500,310
1223,06-472,53-99999,175
1224,06-472,54-99999,14
1225,06-472,55-376,46
1226,06-472,55-99999,109
1227,06-472,56-99999,33
1228,06-488,08-216,306
1229,06-488,08-99999,151
1230,06-488,09-25540,73
1231,06-488,09-408,1024
1232,06-488,09-99999,33
1233,06-488,10-428,379
1234,06-488,10-99999,6
1235,06-488,11-47900,130
1236,06-488,12-300,95
1237,06-488,12-370,185
1238,06-488,12-422,78
1239,06-488,12-45300,81
1240,06-488,12-99999,115
1241,06-488,13-122,344
1242,06-488,13-496,32
1243,06-488,13-99999,119
1244,06-488,16-99999,348
1245,06-488,17-176,610
1246,06-488,17-476,177
1247,06-488,17-99999,155
1248,06-488,18-258,51
1249,06-488,18-294,161
1250,06-488,18-99999,152
1251,06-488,19-99999,234
1252,06-488,20-312,214
1253,06-488,20-556,67
1254,06-488,20-99999,84
1255,06-488,21-178,193
1256,06-488,21-350,106
1257,06-488,21-99999,164
1258,06-488,22-12940,49
1259,06-488,22-29340,18
1260,06-488,22-406,124
1261,06-488,22-99999,74
1262,06-488,23-99999,74
1263,06-488,24-12580,130
1264,06-488,24-99999,45
1265,06-488,25-148,576
1266,06-488,25-99999,49
1267,06-488,26-220,199
1268,06-488,26-266,149
1269,06-488,26-99999,131
1270,06-488,27-378,375
1271,06-488,27-99999,135
1272,06-488,28-99999,115
1273,06-488,29-99999,122
1274,06-488,30-99999,207
1275,06-488,31-420,98
1276,06-488,31-99999,70
1277,06-488,32-332,363
1278,06-488,32-99999,12
1279,06-488,33-99999,49
1280,06-488,35-99999,148
1281,06-488,36-104,47
1282,06-488,36-160,142
1283,06-488,36-464,86
1284,06-488,36-99999,146
1285,06-488,37-172,136
1286,06-488,37-268,123
1287,06-488,37-450,88
1288,06-488,37-99999,171
1289,06-488,38-99999,66
1290,06-488,39-184,192
1291,06-488,39-198,150
1292,06-488,39-212,74
1293,06-488,39-99999,166
1294,06-488,40-416,77
1295,06-488,40-538,100
1296,06-488,40-99999,64
1297,06-488,41-440,1522
1298,06-488,41-99999,479
1299,06-488,42-430,131
1300,06-488,42-99999,306
1301,06-488,45-16700,50
1302,06-488,45-273,67
1303,06-488,45-99999,103
1304,06-488,46-99999,55
1305,06-488,47-314,61
1306,06-488,47-368,102
1307,06-488,47-400,140
1308,06-488,47-99999,99
1309,06-488,48-12420,219
1310,06-488,48-13140,19
1311,06-488,48-204,15
1312,06-488,48-206,531
1313,06-488,48-238,97
1314,06-488,48-288,453
1315,06-488,48-29700,57
1316,06-488,48-41700,98
1317,06-488,48-99999,282
1318,06-488,49-482,605
1319,06-488,49-99999,202
1320,06-488,50-99999,89
1321,06-488,51-40060,88
1322,06-488,51-545,56
1323,06-488,51-99999,109
1324,06-488,53-500,1040
1325,06-488,53-99999,664
1326,06-488,54-99999,38
1327,06-488,55-376,162
1328,06-488,55-99999,290
1329,06-488,56-99999,51
1330,06-99999,08-216,146
1331,06-99999,08-99999,65
1332,06-99999,09-25540,29
1333,06-99999,09-408,341
1334,06-99999,09-99999,8
1335,06-99999,10-428,137
1336,06-99999,10-99999,3
1337,06-99999,11-47900,39
1338,06-99999,12-300,37
1339,06-99999,12-370,77
1340,06-99999,12-422,28
1341,06-99999,12-45300,25
1342,06-99999,12-99999,92
1343,06-99999,13-122,176
1344,06-99999,13-496,15
1345,06-99999,13-99999,58
1346,06-99999,16-99999,206
1347,06-99999,17-176,309
1348,06-99999,17-476,130
1349,06-99999,17-99999,90
1350,06-99999,18-258,53
1351,06-99999,18-294,91
1352,06-99999,18-99999,79
1353,06-99999,19-99999,118
1354,06-99999,20-312,149
1355,06-99999,20-556,28
1356,06-99999,20-99999,46
1357,06-99999,21-178,87
1358,06-99999,21-350,53
1359,06-99999,21-99999,62
1360,06-99999,22-12940,27
1361,06-99999,22-29340,2
1362,06-99999,22-406,102
1363,06-99999,22-99999,70
1364,06-99999,23-99999,38
1365,06-99999,24-12580,56
1366,06-99999,24-99999,47
1367,06-99999,25-148,174
1368,06-99999,25-99999,19
1369,06-99999,26-220,89
1370,06-99999,26-266,51
1371,06-99999,26-99999,84
1372,06-99999,27-378,200
1373,06-99999,27-99999,63
1374,06-99999,28-99999,76
1375,06-99999,29-99999,88
1376,06-99999,30-99999,116
1377,06-99999,31-420,54
1378,06-99999,31-99999,42
1379,06-99999,32-332,93
1380,06-99999,32-99999,128
1381,06-99999,33-99999,22
1382,06-99999,35-99999,104
1383,06-99999,36-104,22
1384,06-99999,36-160,65
1385,06-99999,36-464,37
1386,06-99999,36-99999,46
1387,06-99999,37-172,57
1388,06-99999,37-268,47
1389,06-99999,37-450,27
1390,06-99999,37-99999,52
1391,06-99999,38-99999,44
1392,06-99999,39-184,92
1393,06-99999,39-198,62
1394,06-99999,39-212,34
1395,06-99999,39-99999,89
1396,06-99999,40-416,55
1397,06-99999,40-538,52
1398,06-99999,40-99999,41
1399,06-99999,41-440,662
1400,06-99999,41-99999,299
1401,06-99999,42-430,42
1402,06-99999,42-99999,133
1403,06-99999,45-16700,33
1404,06-99999,45-273,64
1405,06-99999,45-99999,60
1406,06-99999,46-99999,41
1407,06-99999,47-314,29
1408,06-99999,47-368,50
1409,06-99999,47-400,63
1410,06-99999,47-99999,71
1411,06-99999,48-12420,51
1412,06-99999,48-13140,6
1413,06-99999,48-204,11
1414,06-99999,48-206,307
1415,06-99999,48-238,60
1416,06-99999,48-288,301
1417,06-99999,48-29700,9
1418,06-99999,48-41700,42
1419,06-99999,48-99999,186
1420,06-99999,49-482,346
1421,06-99999,49-99999,165
1422,06-99999,50-99999,23
1423,06-99999,51-40060,24
1424,06-99999,51-545,27
1425,06-99999,51-99999,57
1426,06-99999,53-500,443
1427,06-99999,53-99999,430
1428,06-99999,54-99999,24
1429,06-99999,55-376,90
1430,06-99999,55-99999,207
1431,06-99999,56-99999,52
1432,08-216,09-25540,47
1433,08-216,09-408,369
1434,08-216,09-99999,15
1435,08-216,10-428,198
1436,08-216,10-99999,3
1437,08-216,11-47900,72
1438,08-216,12-300,24
1439,08-216,12-370,113
1440,08-216,12-422,62
1441,08-216,12-45300,57
1442,08-216,12-99999,96
1443,08-216,13-122,181
1444,08-216,13-496,9
1445,08-216,13-99999,69
1446,08-216,16-99999,249
1447,08-216,17-176,415
1448,08-216,17-476,194
1449,08-216,17-99999,178
1450,08-216,18-258,56
1451,08-216,18-294,141
1452,08-216,18-99999,115
1453,08-216,19-99999,286
1454,08-216,20-312,351
1455,08-216,20-556,178
1456,08-216,20-99999,179
1457,08-216,21-178,136
1458,08-216,21-350,69
1459,08-216,21-99999,121
1460,08-216,22-12940,35
1461,08-216,22-29340,5
1462,08-216,22-406,48
1463,08-216,22-99999,73
1464,08-216,23-99999,36
1465,08-216,24-12580,36
1466,08-216,24-99999,12
1467,08-216,25-148,220
1468,08-216,25-99999,33
1469,08-216,26-220,85
1470,08-216,26-266,78
1471,08-216,26-99999,84
1472,08-216,27-378,322
1473,08-216,27-99999,91
1474,08-216,28-99999,124
1475,08-216,29-99999,167
1476,08-216,30-99999,305
1477,08-216,31-420,179
1478,08-216,31-99999,211
1479,08-216,32-332,106
1480,08-216,32-99999,167
1481,08-216,33-99999,29
1482,08-216,35-99999,482
1483,08-216,36-104,42
1484,08-216,36-160,75
1485,08-216,36-464,63
1486,08-216,36-99999,70
1487,08-216,37-172,69
1488,08-216,37-268,65
1489,08-216,37-450,50
1490,08-216,37-99999,84
1491,08-216,38-99999,98
1492,08-216,39-184,149
1493,08-216,39-198,76
1494,08-216,39-212,44
1495,08-216,39-99999,98
1496,08-216,40-416,160
1497,08-216,40-538,132
1498,08-216,40-99999,108
1499,08-216,41-440,278
1500,08-216,41-99999,130
1501,08-216,42-430,145
1502,08-216,42-99999,161
1503,08-216,45-16700,13
1504,08-216,45-273,51
1505,08-216,45-99999,72
1506,08-216,46-99999,144
1507,08-216,47-314,57
1508,08-216,47-368,53
1509,08-216,47-400,65
1510,08-216,47-99999,113
1511,08-216,48-12420,80
1512,08-216,48-13140,8
1513,08-216,48-204,13
1514,08-216,48-206,444
1515,08-216,48-238,80
1516,08-216,48-288,295
1517,08-216,48-29700,16
1518,08-216,48-41700,58
1519,08-216,48-99999,356
1520,08-216,49-482,864
1521,08-216,49-99999,137
1522,08-216,50-99999,30
1523,08-216,51-40060,46
1524,08-216,51-545,41
1525,08-216,51-99999,87
1526,08-216,53-500,175
1527,08-216,53-99999,166
1528,08-216,54-99999,26
1529,08-216,55-376,106
1530,08-216,55-99999,225
1531,08-216,56-99999,103
1532,08-99999,09-25540,45
1533,08-99999,09-408,190
1534,08-99999,09-99999,8
1535,08-99999,10-428,99
1536,08-99999,10-99999,4
1537,08-99999,11-47900,72
1538,08-99999,12-300,13
1539,08-99999,12-370,46
1540,08-99999,12-422,19
1541,08-99999,12-45300,19
1542,08-99999,12-99999,50
1543,08-99999,13-122,112
1544,08-99999,13-496,6
1545,08-99999,13-99999,40
1546,08-99999,16-99999,124
1547,08-99999,17-176,223
1548,08-99999,17-476,121
1549,08-99999,17-99999,70
1550,08-99999,18-258,18
1551,08-99999,18-294,44
1552,08-99999,18-99999,75
1553,08-99999,19-99999,197
1554,08-99999,20-312,188
1555,08-99999,20-556,107
1556,08-99999,20-99999,92
1557,08-99999,21-178,59
1558,08-99999,21-350,23
1559,08-99999,21-99999,47
1560,08-99999,22-12940,18
1561,08-99999,22-406,63
1562,08-99999,22-99999,25
1563,08-99999,23-99999,17
1564,08-99999,24-12580,22
1565,08-99999,24-99999,4
1566,08-99999,25-148,88
1567,08-99999,25-99999,16
1568,08-99999,26-220,84
1569,08-99999,26-266,43
1570,08-99999,26-99999,39
1571,08-99999,27-378,145
1572,08-99999,27-99999,55
1573,08-99999,28-99999,47
1574,08-99999,29-99999,87
1575,08-99999,30-99999,114
1576,08-99999,31-420,99
1577,08-99999,31-99999,159
1578,08-99999,32-332,58
1579,08-99999,32-99999,112
1580,08-99999,33-99999,15
1581,08-99999,35-99999,107
1582,08-99999,36-104,15
1583,08-99999,36-160,34
1584,08-99999,36-464,24
1585,08-99999,36-99999,26
1586,08-99999,37-172,46
1587,08-99999,37-268,42
1588,08-99999,37-450,24
1589,08-99999,37-99999,54
1590,08-99999,38-99999,158
1591,08-99999,39-184,88
1592,08-99999,39-198,46
1593,08-99999,39-212,24
1594,08-99999,39-99999,46
1595,08-99999,40-416,95
1596,08-99999,40-538,73
1597,08-99999,40-99999,187
1598,08-99999,41-440,141
1599,08-99999,41-99999,76
1600,08-99999,42-430,46
1601,08-99999,42-99999,101
1602,08-99999,45-16700,10
1603,08-99999,45-273,24
1604,08-99999,45-99999,51
1605,08-99999,46-99999,100
1606,08-99999,47-314,17
1607,08-99999,47-368,18
1608,08-99999,47-400,56
1609,08-99999,47-99999,49
1610,08-99999,48-12420,37
1611,08-99999,48-13140,5
1612,08-99999,48-204,1
1613,08-99999,48-206,332
1614,08-99999,48-238,57
1615,08-99999,48-288,162
1616,08-99999,48-29700,25
1617,08-99999,48-41700,64
1618,08-99999,48-99999,193
1619,08-99999,49-482,306
1620,08-99999,49-99999,86
1621,08-99999,50-99999,27
1622,08-99999,51-40060,55
1623,08-99999,51-545,13
1624,08-99999,51-99999,43
1625,08-99999,53-500,94
1626,08-99999,53-99999,88
1627,08-99999,54-99999,18
1628,08-99999,55-376,43
1629,08-99999,55-99999,132
1630,08-99999,56-99999,65
1631,09-25540,11-47900,22
1632,09-25540,12-300,32
1633,09-25540,12-370,109
1634,09-25540,12-422,55
1635,09-25540,12-45300,47
1636,09-25540,12-99999,71
1637,09-25540,13-122,135
1638,09-25540,13-496,14
1639,09-25540,13-99999,64
1640,09-25540,16-99999,23
1641,09-25540,17-176,262
1642,09-25540,17-476,68
1643,09-25540,17-99999,54
1644,09-25540,18-258,12
1645,09-25540,18-294,81
1646,09-25540,18-99999,61
1647,09-25540,19-99999,51
1648,09-25540,20-312,78
1649,09-25540,20-556,19
1650,09-25540,20-99999,21
1651,09-25540,21-178,159
1652,09-25540,21-350,32
1653,09-25540,21-99999,53
1654,09-25540,22-12940,7
1655,09-25540,22-406,56
1656,09-25540,22-99999,18
1657,09-25540,23-99999,29
1658,09-25540,24-99999,3
1659,09-25540,26-220,114
1660,09-25540,26-266,56
1661,09-25540,26-99999,65
1662,09-25540,27-378,118
1663,09-25540,27-99999,32
1664,09-25540,28-99999,52
1665,09-25540,29-99999,29
1666,09-25540,30-99999,37
1667,09-25540,31-420,14
1668,09-25540,31-99999,15
1669,09-25540,32-332,18
1670,09-25540,32-99999,38
1671,09-25540,35-99999,25
1672,09-25540,36-160,41
1673,09-25540,36-99999,20
1674,09-25540,37-172,128
1675,09-25540,37-268,63
1676,09-25540,37-450,51
1677,09-25540,37-99999,81
1678,09-25540,38-99999,12
1679,09-25540,39-184,189
1680,09-25540,39-198,64
1681,09-25540,39-212,40
1682,09-25540,39-99999,147
1683,09-25540,40-416,15
1684,09-25540,40-538,14
1685,09-25540,40-99999,9
1686,09-25540,41-440,66
1687,09-25540,41-99999,9
1688,09-25540,42-430,77
1689,09-25540,42-99999,34
1690,09-25540,45-16700,19
1691,09-25540,45-273,88
1692,09-25540,45-99999,89
1693,09-25540,46-99999,10
1694,09-25540,47-314,17
1695,09-25540,47-368,53
1696,09-25540,47-400,42
1697,09-25540,47-99999,44
1698,09-25540,48-12420,14
1699,09-25540,48-13140,5
1700,09-25540,48-204,1
1701,09-25540,48-206,114
1702,09-25540,48-238,21
1703,09-25540,48-288,88
1704,09-25540,48-29700,17
1705,09-25540,48-41700,19
1706,09-25540,48-99999,135
1707,09-25540,49-482,24
1708,09-25540,51-40060,59
1709,09-25540,51-545,74
1710,09-25540,51-99999,100
1711,09-25540,53-500,35
1712,09-25540,53-99999,12
1713,09-25540,54-99999,29
1714,09-25540,55-376,73
1715,09-25540,55-99999,96
1716,09-25540,56-99999,1
1717,09-408,09-408,3
1718,09-408,12-300,46
1719,09-408,12-370,116
1720,09-408,12-422,58
1721,09-408,12-45300,81
1722,09-408,12-99999,95
1723,09-408,13-122,236
1724,09-408,13-496,15
1725,09-408,13-99999,84
1726,09-408,16-99999,18
1727,09-408,17-176,418
1728,09-408,17-476,99
1729,09-408,17-99999,89
1730,09-408,18-258,59
1731,09-408,18-294,154
1732,09-408,18-99999,96
1733,09-408,19-99999,72
1734,09-408,20-312,81
1735,09-408,20-556,28
1736,09-408,20-99999,28
1737,09-408,21-178,679
1738,09-408,21-350,70
1739,09-408,21-99999,93
1740,09-408,22-12940,17
1741,09-408,22-29340,7
1742,09-408,22-406,36
1743,09-408,22-99999,27
1744,09-408,23-99999,40
1745,09-408,24-99999,17
1746,09-408,26-220,170
1747,09-408,26-266,64
1748,09-408,26-99999,78
1749,09-408,27-378,118
1750,09-408,27-99999,36
1751,09-408,28-99999,82
1752,09-408,29-99999,83
1753,09-408,30-99999,20
1754,09-408,31-420,20
1755,09-408,31-99999,44
1756,09-408,32-332,18
1757,09-408,32-99999,24
1758,09-408,35-99999,96
1759,09-408,36-160,435
1760,09-408,36-464,38
1761,09-408,36-99999,22
1762,09-408,37-172,728
1763,09-408,37-268,865
1764,09-408,37-450,576
1765,09-408,37-99999,1054
1766,09-408,38-99999,114
1767,09-408,39-184,1366
1768,09-408,39-198,934
1769,09-408,39-212,374
1770,09-408,39-99999,961
1771,09-408,40-416,177
1772,09-408,40-538,163
1773,09-408,40-99999,114
1774,09-408,41-440,395
1775,09-408,41-99999,134
1776,09-408,42-430,343
1777,09-408,42-99999,176
1778,09-408,45-16700,195
1779,09-408,45-273,716
1780,09-408,45-99999,807
1781,09-408,46-99999,182
1782,09-408,47-314,272
1783,09-408,47-368,381
1784,09-408,47-400,523
1785,09-408,47-99999,690
1786,09-408,48-12420,159
1787,09-408,48-13140,50
1788,09-408,48-204,30
1789,09-408,48-206,1202
1790,09-408,48-238,175
1791,09-408,48-288,976
1792,09-408,48-29700,227
1793,09-408,48-41700,285
1794,09-408,48-99999,883
1795,09-408,49-482,350
1796,09-408,49-99999,41
1797,09-408,50-99999,55
1798,09-408,51-40060,120
1799,09-408,51-545,553
1800,09-408,51-99999,817
1801,09-408,53-500,555
1802,09-408,53-99999,243
1803,09-408,54-99999,363
1804,09-408,55-376,840
1805,09-408,55-99999,1311
1806,09-408,56-99999,72
1807,09-99999,11-47900,7
1808,09-99999,12-300,12
1809,09-99999,12-370,32
1810,09-99999,12-422,11
1811,09-99999,12-45300,9
1812,09-99999,12-99999,16
1813,09-99999,13-122,65
1814,09-99999,13-496,4
1815,09-99999,13-99999,13
1816,09-99999,16-99999,2
1817,09-99999,17-176,136
1818,09-99999,17-476,38
1819,09-99999,17-99999,10
1820,09-99999,18-258,7
1821,09-99999,18-294,15
1822,09-99999,18-99999,47
1823,09-99999,19-99999,32
1824,09-99999,20-312,15
1825,09-99999,20-556,4
1826,09-99999,20-99999,6
1827,09-99999,21-178,48
1828,09-99999,21-350,11
1829,09-99999,21-99999,67
1830,09-99999,22-29340,1
1831,09-99999,22-406,12
1832,09-99999,22-99999,5
1833,09-99999,23-99999,18
1834,09-99999,24-99999,2
1835,09-99999,26-220,48
1836,09-99999,26-266,38
1837,09-99999,26-99999,27
1838,09-99999,27-378,52
1839,09-99999,27-99999,8
1840,09-99999,28-99999,16
1841,09-99999,29-99999,7
1842,09-99999,30-99999,4
1843,09-99999,31-420,2
1844,09-99999,31-99999,3
1845,09-99999,32-332,9
1846,09-99999,32-99999,7
1847,09-99999,35-99999,18
1848,09-99999,36-160,40
1849,09-99999,37-172,21
1850,09-99999,37-268,66
1851,09-99999,37-450,14
1852,09-99999,37-99999,37
1853,09-99999,38-99999,2
1854,09-99999,39-184,58
1855,09-99999,39-198,15
1856,09-99999,39-212,40
1857,09-99999,39-99999,55
1858,09-99999,40-416,15
1859,09-99999,40-538,5
1860,09-99999,40-99999,4
1861,09-99999,41-440,14
1862,09-99999,41-99999,2
1863,09-99999,42-430,20
1864,09-99999,42-99999,13
1865,09-99999,45-16700,4
1866,09-99999,45-273,17
1867,09-99999,45-99999,26
1868,09-99999,46-99999,2
1869,09-99999,47-314,6
1870,09-99999,47-368,11
1871,09-99999,47-400,11
1872,09-99999,47-99999,13
1873,09-99999,48-12420,4
1874,09-99999,48-13140,6
1875,09-99999,48-204,1
1876,09-99999,48-206,33
1877,09-99999,48-238,21
1878,09-99999,48-288,23
1879,09-99999,48-29700,8
1880,09-99999,48-41700,6
1881,09-99999,48-99999,37
1882,09-99999,49-482,14
1883,09-99999,49-99999,4
1884,09-99999,51-40060,17
1885,09-99999,51-545,51
1886,09-99999,51-99999,21
1887,09-99999,53-500,14
1888,09-99999,53-99999,6
1889,09-99999,54-99999,17
1890,09-99999,55-376,23
1891,09-99999,55-99999,32
1892,09-99999,56-99999,1
1893,10-428,09-408,1
1894,10-428,12-300,15
1895,10-428,12-370,34
1896,10-428,12-422,33
1897,10-428,12-45300,31
1898,10-428,12-99999,41
1899,10-428,13-122,90
1900,10-428,13-496,12
1901,10-428,13-99999,62
1902,10-428,16-99999,3
1903,10-428,17-176,180
1904,10-428,17-476,46
1905,10-428,17-99999,29
1906,10-428,18-258,34
1907,10-428,18-294,53
1908,10-428,18-99999,40
1909,10-428,19-99999,26
1910,10-428,20-312,28
1911,10-428,20-556,11
1912,10-428,20-99999,8
1913,10-428,21-178,121
1914,10-428,21-350,19
1915,10-428,21-99999,28
1916,10-428,22-12940,10
1917,10-428,22-29340,4
1918,10-428,22-406,19
1919,10-428,22-99999,11
1920,10-428,23-99999,30
1921,10-428,25-148,8
1922,10-428,26-220,66
1923,10-428,26-266,30
1924,10-428,26-99999,30
1925,10-428,27-378,58
1926,10-428,27-99999,21
1927,10-428,28-99999,36
1928,10-428,29-99999,37
1929,10-428,30-99999,6
1930,10-428,31-420,10
1931,10-428,31-99999,16
1932,10-428,32-332,5
1933,10-428,32-99999,3
1934,10-428,33-99999,9
1935,10-428,35-99999,34
1936,10-428,36-160,202
1937,10-428,36-464,10
1938,10-428,36-99999,58
1939,10-428,37-172,238
1940,10-428,37-268,189
1941,10-428,37-450,103
1942,10-428,37-99999,211
1943,10-428,38-99999,35
1944,10-428,39-184,350
1945,10-428,39-198,218
1946,10-428,39-212,73
1947,10-428,39-99999,142
1948,10-428,40-416,42
1949,10-428,40-538,34
1950,10-428,40-99999,20
1951,10-428,41-440,94
1952,10-428,41-99999,17
1953,10-428,42-430,1
1954,10-428,42-99999,22
1955,10-428,45-16700,105
1956,10-428,45-273,264
1957,10-428,45-99999,430
1958,10-428,46-99999,124
1959,10-428,47-314,128
1960,10-428,47-368,180
1961,10-428,47-400,244
1962,10-428,47-99999,397
1963,10-428,48-12420,67
1964,10-428,48-13140,26
1965,10-428,48-204,18
1966,10-428,48-206,511
1967,10-428,48-238,72
1968,10-428,48-288,496
1969,10-428,48-29700,88
1970,10-428,48-41700,128
1971,10-428,48-99999,462
1972,10-428,49-482,154
1973,10-428,49-99999,9
1974,10-428,50-99999,125
1975,10-428,51-99999,181
1976,10-428,53-500,224
1977,10-428,53-99999,122
1978,10-428,54-99999,175
1979,10-428,55-376,400
1980,10-428,55-99999,707
1981,10-428,56-99999,39
1982,10-99999,12-300,5
1983,10-99999,12-370,20
1984,10-99999,12-422,9
1985,10-99999,12-45300,5
1986,10-99999,12-99999,21
1987,10-99999,13-122,35
1988,10-99999,13-496,2
1989,10-99999,13-99999,22
1990,10-99999,16-99999,2
1991,10-99999,17-176,23
1992,10-99999,17-476,1
1993,10-99999,17-99999,8
1994,10-99999,18-258,5
1995,10-99999,18-294,2
1996,10-99999,18-99999,9
1997,10-99999,19-99999,7
1998,10-99999,20-312,5
1999,10-99999,20-99999,6
2000,10-99999,21-178,10
2001,10-99999,21-350,5
2002,10-99999,21-99999,7
2003,10-99999,22-406,4
2004,10-99999,22-99999,2
2005,10-99999,23-99999,13
2006,10-99999,25-148,33
2007,10-99999,26-220,13
2008,10-99999,26-266,4
2009,10-99999,26-99999,9
2010,10-99999,27-378,6
2011,10-99999,27-99999,4
2012,10-99999,28-99999,10
2013,10-99999,29-99999,6
2014,10-99999,30-99999,1
2015,10-99999,31-420,4
2016,10-99999,31-99999,3
2017,10-99999,32-332,2
2018,10-99999,32-99999,1
2019,10-99999,33-99999,4
2020,10-99999,35-99999,3
2021,10-99999,36-104,4
2022,10-99999,36-160,6
2023,10-99999,36-464,1
2024,10-99999,36-99999,5
2025,10-99999,37-172,33
2026,10-99999,37-268,50
2027,10-99999,37-450,3
2028,10-99999,37-99999,42
2029,10-99999,39-184,17
2030,10-99999,39-198,6
2031,10-99999,39-212,1
2032,10-99999,39-99999,13
2033,10-99999,40-416,3
2034,10-99999,40-538,4
2035,10-99999,40-99999,1
2036,10-99999,41-440,6
2037,10-99999,41-99999,2
2038,10-99999,42-99999,3
2039,10-99999,45-16700,2
2040,10-99999,45-273,13
2041,10-99999,45-99999,27
2042,10-99999,46-99999,3
2043,10-99999,47-314,2
2044,10-99999,47-368,3
2045,10-99999,47-400,2
2046,10-99999,47-99999,11
2047,10-99999,48-12420,5
2048,10-99999,48-204,1
2049,10-99999,48-206,10
2050,10-99999,48-288,1
2051,10-99999,48-29700,1
2052,10-99999,48-41700,4
2053,10-99999,48-99999,4
2054,10-99999,49-482,1
2055,10-99999,49-99999,1
2056,10-99999,50-99999,12
2057,10-99999,51-99999,7
2058,10-99999,53-500,7
2059,10-99999,53-99999,2
